Company Name,Funding Round,Amount,Date,RupeesAmount
Dash,Venture - Series Unknown,"$12,100,000","Jul 1, 1999",907500000
BookMyShow,Seed,—,"Jan 1, 2007",0
Birla Power Solutions,Venture - Series Unknown,—,"Sep 1, 2006",0
Zvents,Series A,"$7,000,000","Nov 7, 2006",525000000
Dr. Reddy’s Laboratories,Post-IPO Equity,"$6,000,000","Dec 1, 2001",450000000
Axpert Media,Private Equity,"₹300,000","Mar 31, 1922",300000
South Asian Petrochem,Private Equity,"$13,000,000","Dec 1, 2007",975000000
SINEWAVE,Venture - Series Unknown,—,"May 11, 2007",0
Aurangabad Electricals Limited,Private Equity,"₹451,200,000","Mar 1, 2006",451200000
Fairkraft Creations,Venture - Series Unknown,"₹121,200,000","Aug 13, 2007",121200000
Nazara Technologies,Series A,"$1,500,000","Oct 19, 2005",112500000
Nazara Technologies,Series B,"$7,000,000","Dec 27, 2007",525000000
Mars Hospitality Group,Venture - Series Unknown,"₹148,500,000","Dec 1, 2001",148500000
Asianet Communications,Private Equity,"₹66,000,000","Mar 1, 2005",66000000
Triesta Sciences,Venture - Series Unknown,"₹4,400,000","Jan 1, 2006",4400000
Beacon Hotels,Venture - Series Unknown,—,"Sep 1, 2007",0
Oriental Cuisines Pvt Ltd.,Private Equity,"$20,000,000","Jan 1, 2007",1500000000
mobME Solutions,Angel,"$200,000","Dec 1, 2006",15000000
Larsen & Toubro,Private Equity,—,"Feb 1, 2006",0
Escorts,Post-IPO Equity,"₹750,000,000","Mar 26, 2007",750000000
Financial Software & Systems,Series B,"$10,000,000","Mar 5, 2004",750000000
International Print - O - Pac Limited,Private Equity,"$12,000,000","Jan 7, 2007",900000000
Gobardanga Charulata,Venture - Series Unknown,—,"May 15, 1990",0
Axis Bank,Post-IPO Equity,"₹1,700,000,000","Oct 8, 2003",1700000000
Granules India,Post-IPO Equity,—,"Sep 1, 2005",0
IIHT,Venture - Series Unknown,—,"Nov 1, 2005",0
Ittiam Systems (Pvt),Series A,"$5,000,000","Jan 1, 2001",375000000
Cleartrip,Venture - Series Unknown,"$8,000,000","Dec 12, 2006",600000000
Meru Cabs,Venture - Series Unknown,—,"Feb 1, 2007",0
Netmagic Solutions,Series B,"$20,000,000","Feb 12, 2008",1500000000
Kreeda Games,Series B,"$1,500,000","Jun 1, 2008",112500000
SSI Education,Private Equity,"$185,000,000","Dec 1, 2007",13875000000
Drishtee Development and Communication Ltd.,Seed,"$1,000,000","Sep 20, 2006",75000000
Celetron International,Private Equity,"$48,000,000","May 22, 2001",3600000000
Mahindra Rise,Post-IPO Equity,—,"Feb 1, 2008",0
Plexion Technologies,Pre-Seed,"₹10,000,000","Jan 1, 2000",10000000
Deccan Charters,Venture - Series Unknown,—,"Apr 22, 2006",0
Pride Purple Group,Venture - Series Unknown,—,"Apr 11, 2007",0
Tejas Networks India,Series B,"$6,600,000","Feb 11, 2002",495000000
Hythro Power Corp,Private Equity,—,"Jan 1, 2005",0
Thyrocare Technologies,Venture - Series Unknown,—,"May 30, 2006",0
Indo Schöttle,Venture - Series Unknown,"₹560,200,000","Jul 1, 2008",560200000
Comat Technologies,Series B,"$6,000,000","Nov 26, 2007",450000000
Elbit Medical Diagnostics,Venture - Series Unknown,—,"Jun 1, 2006",0
ING Vysya Bank,Post-IPO Equity,"$5,000,000","Jan 1, 2003",375000000
Bartronics India,Venture - Series Unknown,—,"Aug 1, 2005",0
First Leasing Company of India,Private Equity,—,"Jun 1, 1995",0
Shriram SEPL Composites,Private Equity,—,"Jun 26, 2008",0
InMobi,Series A,"$7,100,000","Jan 1, 2008",532500000
HistoryFile,Seed,"$6,000","Jul 25, 2008",450000
VerSe Innovation,Seed,"₹22,000,000","Jul 1, 2007",22000000
mafoi,Venture - Series Unknown,"₹40,000,000","Apr 1, 2001",40000000
Mars Hospitality Group,Venture - Series Unknown,"₹46,300,000","Oct 1, 2000",46300000
Auromatrix,Funding Round,—,"Dec 1, 2007",0
Cyient,Post-IPO Equity,—,"Jul 6, 2007",0
Geodesic,Venture - Series Unknown,—,"May 23, 2000",0
Webchutney,Series A,—,"Oct 4, 2007",0
Mason & Summers,Venture - Series Unknown,"₹180,000,000","Apr 1, 2006",180000000
Jana Small Finance Bank,Series A,—,"Mar 1, 2008",0
MobileVeda,Seed,"$9,000","Apr 1, 2007",675000
Microland,Venture - Series Unknown,"$11,000,000","Aug 9, 2006",825000000
Quest Global Manufacturing,Venture - Series Unknown,"$5,000,000","Aug 7, 2007",375000000
Bhagyanagar,Post-IPO Equity,—,"Nov 21, 2006",0
Zanvar Group,Venture - Series Unknown,"₹300,000,000","Jan 1, 2008",300000000
Marksans Pharma,Post-IPO Equity,"₹218,000,000","Feb 1, 2005",218000000
Linc Software Services,Private Equity,—,"May 1, 2005",0
NetAmbit,Series A,—,"Sep 7, 2007",0
KSK Power Venture,Post-IPO Equity,—,"Nov 1, 2007",0
RUPBIT,Initial Coin Offering,—,"Apr 1, 1921",0
Bioplus Life Sciences,Private Equity,—,"Jun 1, 2008",0
Xamplified,Seed,—,"Feb 1, 2008",0
Prize Petroleum,Seed,"₹10,000,000","Oct 1, 1998",10000000
Pushpanjali Group,Venture - Series Unknown,—,"May 28, 2007",0
IIFL Finance,Post-IPO Equity,—,"Jan 1, 2008",0
Potential Service Consultants,Private Equity,—,"Feb 1, 2007",0
Bharti Enterprises,Funding Round,—,"Jan 22, 2006",0
Phonethics Mobile Media,Angel,"$200,000","May 7, 2007",15000000
MVL,Venture - Series Unknown,—,"Jan 1, 2006",0
NTT Global Networks,Series C,"$6,480,000","Mar 14, 2003",486000000
The Times Of India,Series A,"$7,000,000","Sep 29, 2004",525000000
Four Interactive,Series A,"$2,000,000","Feb 1, 2007",150000000
Shilpa Medicare,Private Equity,—,"Oct 1, 2005",0
Durg Shivnath Expressways,Private Equity,—,"Oct 22, 2007",0
Matrix Cellular,Seed,—,"Jan 25, 2008",0
Titagarh Wagons,Private Equity,—,"Jul 1, 2005",0
Miditech,Venture - Series Unknown,"₹122,500,000","May 1, 2002",122500000
Pai Kane Group,Private Equity,"₹806,800,000","Mar 1, 2008",806800000
Archies,Post-IPO Equity,—,"Apr 9, 2007",0
Privi Organics,Private Equity,—,"Jan 1, 2006",0
Mu Sigma,Series A,"$350,000","Jan 1, 2006",26250000
Suryachakra Power Corporation,Venture - Series Unknown,"₹16,500,000","Jan 1, 2006",16500000
Tecpro Systems,Private Equity,—,"Jan 1, 2008",0
Computer Age Management Services,Private Equity,—,"Oct 1, 2007",0
Gland Pharma,Venture - Series Unknown,—,"Jan 1, 1996",0
Max Healthcare,Funding Round,—,"Dec 20, 2004",0
Oriental Containers,Private Equity,—,"Sep 1, 2006",0
Aksh Optifibre,Post-IPO Equity,—,"Apr 1, 2008",0
Adhysteria,Seed,"$10,000","Sep 1, 2007",750000
ApnaPaisa,Venture - Series Unknown,"$2,200,000","Jan 30, 2007",165000000
Digital Signage Network,Venture - Series Unknown,"₹110,000,000","Mar 1, 2007",110000000
Zvents,Seed,"$200,000","Oct 5, 2005",15000000
Multi Commodity Exchange of India Ltd,Venture - Series Unknown,—,"Jun 1, 2005",0
Globe Capital Market,Private Equity,"₹1,640,000,000","Feb 1, 2008",1640000000
Centillion,Private Equity,—,"Aug 1, 2006",0
DK & Sons,Seed,"NPR7,500,000","Sep 7, 2007",562500000
Avonmore Capital,Venture - Series Unknown,—,"Aug 1, 2007",0
NRDL,Venture - Series Unknown,—,"Apr 1, 2008",0
Financial Software & Systems,Series A,"$2,250,000","Nov 20, 2000",168750000
Sahara One Media And Entertainment,Post-IPO Equity,—,"Feb 15, 2006",0
JesterDigital,Series B,"$6,800,000","Jan 24, 2001",510000000
Enmail.com,Pre-Seed,"₹10,000,000","Feb 27, 2001",10000000
Storrz,Seed,"$100,000","Jan 1, 2007",7500000
Imperial Spirits,Venture - Series Unknown,"₹100,000,000","Mar 1, 2007",100000000
Via.com,Venture - Series Unknown,"$5,000,000","May 14, 2007",375000000
Shriram City Union Finance,Post-IPO Equity,"₹1,920,000,000","Dec 30, 2006",1920000000
Billdesk,Venture - Series Unknown,"$7,500,000","Jun 22, 2006",562500000
Jaypee Group,Venture - Series Unknown,—,"Apr 3, 2008",0
Rangsons Electronics,Private Equity,—,"Aug 1, 2007",0
Bharat Financial Inclusion,Series C,"$22,096,000","Feb 4, 2008",1657200000
SEW Infrastructure,Private Equity,"₹1,300,000,000","Jan 1, 2007",1300000000
Tubeknit Fashions,Venture - Series Unknown,"₹10,000,000","Jul 1, 2002",10000000
Netmagic Solutions,Venture - Series Unknown,—,"Jan 1, 2008",0
Digital Music India,Venture - Series Unknown,"$22,600,000","Dec 23, 2006",1695000000
HMA Data Systems,Private Equity,"$5,000,000","May 1, 2003",375000000
Sasken Communication Technologies,Seed,"$3,000,000","Apr 21, 2005",225000000
Sterling And Wilson,Private Equity,"$50,000,000","Jun 17, 2008",3750000000
ConnectCapital,Seed,—,"May 1, 2000",0
SG Estates,Venture - Series Unknown,—,"Jul 1, 2008",0
Afcons,Private Equity,—,"Jan 1, 2007",0
Mistral Solutions,Series B,"$6,500,000","Feb 6, 2008",487500000
Dhruva,Venture - Series Unknown,"$5,000,000","Nov 27, 2006",375000000
Printo,Series A,"$6,250,000","Oct 25, 2007",468750000
AyurVAID Hospitals,Venture - Series Unknown,"₹45,000,000","Jun 13, 2008",45000000
Bhayana Builders,Private Equity,"₹300,000,000","May 1, 2008",300000000
Paramount Airways,Venture - Series Unknown,—,"Sep 1, 2005",0
HDFC Credila,Funding Round,"₹159,400,000","Jun 1, 2007",159400000
SmartAge,Series D,"$24,000,000","Oct 23, 2000",1800000000
Valiant Communications,Post-IPO Equity,"₹39,000,000","Oct 1, 2005",39000000
Sandhar Technologies,Private Equity,"$23,000,000","Dec 29, 2005",1725000000
NiftyHMS - Healthcare Solution,Seed,—,"Jan 31, 1901",0
Net4Nuts,Pre-Seed,"₹10,000,000","May 1, 2000",10000000
Matrimony.com,Series A,"$8,650,000","Aug 2, 2006",648750000
Financial Information Network & Operations Pvt,Venture - Series Unknown,"$20,000,000","Mar 3, 2007",1500000000
CreditAccess Grameen,Series A,"₹920,000,000","Apr 1, 2008",920000000
Gangavaram Port,Private Equity,"$40,000,000","Jan 1, 2007",3000000000
Snapdeal Winner List 2023,Series A,"₹50,000","Jan 2, 2001",50000
MakeMyTrip.com,Series C,"$15,000,000","Oct 8, 2007",1125000000
Nine Star,Seed,—,"May 1, 2006",0
Raj Oil Mills,Venture - Series Unknown,—,"Jul 11, 2008",0
SmartCrowds,Seed,"$110,000","Jan 1, 2008",8250000
24x7 Learning,Venture - Series Unknown,"$4,000,000","Nov 6, 2007",300000000
Manas Informatic,Seed,"$160,000","Feb 2, 2008",12000000
Daksh Infosoft,Series B,"$6,000,000","Sep 24, 2001",450000000
Rithwik Projects,Private Equity,"₹2,020,000,000","Mar 1, 2008",2020000000
Edserv Softsystems,Venture - Series Unknown,"$964,000","Mar 27, 2008",72300000
Sujana,Venture - Series Unknown,—,"Dec 12, 2005",0
IOl Netcom,Venture - Series Unknown,—,"Jan 1, 1999",0
obopay,Series C,"$29,000,000","Jul 1, 2007",2175000000
Saravana Global Energy,Private Equity,"$25,000,000","Feb 1, 2008",1875000000
Comat Technologies,Series A,"$4,000,000","Mar 10, 2007",300000000
Aster,Private Equity,"₹2,400,000,000","Aug 1, 2007",2400000000
Travel Tours,Venture - Series Unknown,—,"Jan 1, 2006",0
IANS News,Private Equity,"₹10,000,000","Jun 1, 2003",10000000
Tejas Networks India,Series D,"$20,000,000","Nov 8, 2006",1500000000
Manipal Acunova,Series A,"₹150,000,000","Jan 1, 2006",150000000
Godrej Woodland,Private Equity,"$60,000,000","Jan 1, 2006",4500000000
SICOM,Secondary Market,"$100,000,000","Jan 4, 2008",7500000000
Firepro Systems,Private Equity,"$12,000,000","Apr 4, 2006",900000000
SUMEET INDUSTRIES LIMITED,Venture - Series Unknown,—,"Mar 9, 2007",0
DigiCable,Private Equity,"₹8,585,000,000","Jul 1, 2007",8585000000
Devas Multimedia,Pre-Seed,—,"Jan 1, 2006",0
AVTEC LTD,Private Equity,"$17,800,000","Feb 28, 2005",1335000000
Healthizen,Seed,"$1,000,000","Dec 1, 2007",75000000
Gitanjali Group,Venture - Series Unknown,—,"Sep 22, 2005",0
Max HealthStaff,Venture - Series Unknown,"₹240,400,000","Feb 1, 2005",240400000
Net4 India,Venture - Series Unknown,—,"Nov 5, 2007",0
Redington,Private Equity,"₹670,000,000","Mar 21, 2006",670000000
ICRI India,Venture - Series Unknown,—,"May 1, 2007",0
Zoomin,Venture - Series Unknown,"$12,000,000","Jan 1, 2008",900000000
Inventia Healthcare,Private Equity,"₹900,000,000","Jul 1, 2008",900000000
e-Security,Venture - Series Unknown,"$13,000,000","Jan 16, 2001",975000000
Viswas,Private Equity,—,"Apr 11, 2007",0
Celebrity Fashions,Venture - Series Unknown,—,"Jan 21, 2005",0
Videofropper,Funding Round,—,"Jan 1, 2008",0
Newgen Software Technologies,Venture - Series Unknown,"$7,650,000","Jan 7, 2008",573750000
Sharda Cropchem,Private Equity,"₹1,000,000,000","Apr 1, 2008",1000000000
Enpocket,Series B,"$3,000,000","Dec 29, 2003",225000000
Hind High Vacuum,Private Equity,"₹300,000,000","Sep 1, 2006",300000000
Bay Talkitec,Venture - Series Unknown,"$2,500,000","Jan 30, 2008",187500000
Mantri Metallics,Venture - Series Unknown,"₹200,000,000","Mar 1, 2008",200000000
Sobha,Venture - Series Unknown,—,"Nov 1, 2006",0
Tranzlease,Venture - Series Unknown,—,"Jul 1, 2007",0
Omaxe,Venture - Series Unknown,—,"Jul 24, 2007",0
burrp!,Seed,"$150,000","Dec 1, 2006",11250000
Mankind Pharma,Private Equity,"$24,000,000","Apr 30, 2007",1800000000
Semac Consultants,Private Equity,"$16,000,000","May 1, 2008",1200000000
Tejas Networks India,Venture - Series Unknown,—,"Jan 17, 2007",0
Alfa Transformers,Post-IPO Equity,"₹50,000,000","Jan 1, 2006",50000000
Dial for Books,Seed,"₹50,300,000","May 7, 2008",50300000
US Pizza,Venture - Series Unknown,"₹1,500,000,000","Feb 1, 2008",1500000000
Giftindia24x7.com,Angel,—,"Jan 2, 2001",0
iYogi,Series A,"$3,100,000","Jan 1, 2007",232500000
John Energy,Venture - Series Unknown,"₹105,000,000","Feb 1, 2008",105000000
Powerica,Private Equity,"₹2,019,400,000","Oct 1, 2007",2019400000
InMobi,Angel,"$500,000","Jan 1, 2007",37500000
Vienova,Series A,—,"Dec 20, 2007",0
Broadband Pacenet,Private Equity,"₹2,092,500,000","Aug 1, 2007",2092500000
Yatra,Series A,"$5,000,000","Aug 1, 2006",375000000
Touchpoint,Series B,"$8,199,999","Apr 16, 2001",614999925
Walchand TalentFirst,Venture - Series Unknown,—,"Oct 1, 2007",0
Elitecore Technologies,Venture - Series Unknown,"$10,300,000","Jun 19, 2007",772500000
Ashoka Buildcon,Private Equity,"₹1,000,000,000","Aug 1, 2006",1000000000
Tutorials Point,Seed,—,"Nov 8, 2006",0
CollageGroup,Venture - Series Unknown,—,"Feb 1, 2007",0
Fullerton India,Venture - Series Unknown,—,"Dec 1, 2005",0
ROYAL HYGIENE,Venture - Series Unknown,—,"May 1, 2008",0
Webtrafficindia.com,Venture - Series Unknown,—,"Jan 1, 2007",0
Infosys,Post-IPO Equity,"$200,000,000","Jul 10, 2008",15000000000
Titagarh Wagons,Private Equity,—,"Jul 21, 2006",0
TOPS Security,Venture - Series Unknown,—,"Aug 17, 2007",0
LifeSpring,Venture - Series Unknown,—,"May 28, 2008",0
Sattva,Venture - Series Unknown,"₹68,000,000","Sep 1, 2007",68000000
Wilson Sandhu Logistics,Private Equity,"₹400,000,000","Apr 24, 2008",400000000
SIRO Clinpharm,Private Equity,"₹1,200,000,000","Mar 1, 2007",1200000000
UNIBIC,Venture - Series Unknown,"₹200,000,000","Apr 27, 2007",200000000
Astra Microwave Products,Private Equity,—,"Oct 9, 2001",0
Games2win Media,Series A,"$5,000,000","Mar 29, 2007",375000000
Select Cabs,Seed,—,"Dec 1, 2007",0
Quikr,Series A,—,"Feb 1, 2008",0
CRISIL,Post-IPO Equity,"$12,000,000","Oct 1, 2004",900000000
Amalgamated Plantations,Venture - Series Unknown,"₹359,700,000","Sep 1, 2006",359700000
Cafe Coffee Day,Private Equity,"$95,000,000","Nov 1, 2007",7125000000
Conquest,Series C,"$6,000,000","Aug 6, 2001",450000000
Vriti Infocom,Series A,"$2,500,000","Jun 3, 2008",187500000
Tower Vision,Private Equity,"$300,000,000","Feb 1, 2008",22500000000
Digital Signage Network,Venture - Series Unknown,"₹79,700,000","Jul 1, 2008",79700000
ACT (Atria Convergence Technologies Pvt. Ltd.),Private Equity,"₹2,000,000,000","Apr 1, 2008",2000000000
Plexion Technologies,Seed,"$2,000,000","May 13, 2003",150000000
Phonologies (India),Seed,"$60,000","Jun 1, 2007",4500000
Ace Tours,Venture - Series Unknown,—,"Sep 1, 2007",0
Outsmart,Venture - Series Unknown,"$17,000,000","May 9, 2005",1275000000
Videocon Industries,Venture - Series Unknown,—,"Jul 1, 2005",0
Sainik Mining and Allied Services,Private Equity,"₹1,500,000,000","Jan 1, 2007",1500000000
Idea Cellular,Private Equity,—,"Oct 30, 2006",0
Guruji,Series A,"$7,000,000","Jan 1, 2006",525000000
International Tractors Ltd,Private Equity,—,"Apr 6, 2006",0
Eka Software Solutions,Venture - Series Unknown,"$6,000,000","Jan 1, 2005",450000000
Challenge Industries,Grant,"$65,616","Jun 8, 2007",4921200
Bharat Matrimony,Series B,"$11,750,000","Feb 5, 2008",881250000
Flawless Diamond,Post-IPO Equity,—,"Apr 17, 2007",0
MakeMyTrip.com,Series A,"$10,000,000","May 1, 2005",750000000
Roshini International Bio Energy,Series B,"$1,040,000","Apr 10, 2008",78000000
SKIL Infrastructure,Private Equity,"₹900,000,000","Oct 1, 2007",900000000
Cafe Coffee Day,Venture - Series Unknown,"$20,000,000","Oct 22, 2006",1500000000
Metis Technology,Series B,"$5,000,000","Feb 6, 2002",375000000
3DSoC,Series A,"$1,240,000","Dec 1, 2007",93000000
Manthan,Series A,"$5,700,000","Mar 1, 2007",427500000
Rupeetalk,Seed,"$1,000,000","Jan 1, 2008",75000000
Uhuroo,Seed,—,"Jan 1, 2008",0
Microland,Venture - Series Unknown,"$7,300,000","Jan 14, 2005",547500000
Enpocket,Debt Financing,"$2,000,000","Nov 2, 2006",150000000
Quickshift,Seed,"₹2,200,000","Jul 18, 2005",2200000
Mobile2win,Venture - Series Unknown,—,"Jan 5, 2007",0
CARE Hospitals Group,Private Equity,—,"Jan 1, 2001",0
Agribuys,Series C,"$5,000,000","Aug 29, 2002",375000000
Spykar Lifestyles,Private Equity,"$5,000,000","Jun 8, 2007",375000000
Kreeda Games,Series A,—,"Jun 21, 2007",0
MapmyIndia,Series A,—,"Apr 19, 2007",0
Mtar Technologies,Private Equity,"$65,000,000","Nov 7, 2007",4875000000
Chikka Federation Of India,Series B,"$500,000","Apr 10, 2004",37500000
Glenmark Pharmaceuticals,Private Equity,"$10,000,000","Jun 1, 2002",750000000
IL&FS Education & Technology Services Ltd.,Private Equity,"₹10,200,000","Feb 1, 2006",10200000
NTT Global Networks,Series D,"$6,400,000","Nov 14, 2005",480000000
Spire Innovations Inc.,Seed,"$1,000,000","Jan 1, 2008",75000000
Ittiam Systems (Pvt),Series B,"$6,500,000","Dec 8, 2004",487500000
Ordyn Technologies,Private Equity,"$10,000,000","Apr 5, 2007",750000000
EBS Worldwide Services,Venture - Series Unknown,"$5,500,000","Jun 7, 2006",412500000
authorGEN,Series A,"$8,700,000","Sep 10, 2007",652500000
Dynaspede,Private Equity,"₹360,000,000","Mar 1, 2006",360000000
Wockhardt,Post-IPO Equity,—,"Oct 1, 2004",0
SAI Life Sciences,Venture - Series Unknown,"$12,500,000","Oct 27, 2007",937500000
LifeSpring Hospitals,Venture - Series Unknown,—,"May 28, 2008",0
TELiBrahma,Series A,"$250,000","Jan 1, 2006",18750000
Lakshmi Overseas Industries,Venture - Series Unknown,—,"May 27, 2005",0
Delta Agrigenetics,Non-equity Assistance,—,"Jun 1, 2005",0
Spice Mobiles,Venture - Series Unknown,—,"Aug 1, 2006",0
Dalmia Cements,Private Equity,"$25,000,000","Apr 13, 2006",1875000000
Epiance,Series B,"$7,500,000","May 25, 2004",562500000
Mahindra REVA,Venture - Series Unknown,"$20,000,000","Dec 14, 2006",1500000000
PayMate,Series A,"$5,000,000","Jul 1, 2006",375000000
ECI Engineering & Construction,Equity Crowdfunding,"₹1,000,000,000","Apr 3, 2008",1000000000
GVK Biosciences,Venture - Series Unknown,"$25,000,000","Nov 26, 2007",1875000000
YOU Broadband India,Venture - Series Unknown,—,"Nov 1, 2006",0
EbixCash,Venture - Series Unknown,"$10,000,000","Oct 12, 2007",750000000
obopay,Series D,"$20,000,000","Apr 21, 2008",1500000000
National Stock Exchange,Private Equity,—,"Jan 10, 2007",0
Perlecan Pharma,Series A,"$52,500,000","Sep 30, 2005",3937500000
Mahindra finance,Private Equity,"₹600,000,000","Jan 6, 2006",600000000
Dynaspede,Private Equity,"₹360,000,000","Mar 1, 2008",360000000
EasyLink,Venture - Series Unknown,"$5,400,000","Apr 13, 2006",405000000
Hurix Systems Private,Series B,"$5,100,000","Oct 3, 2007",382500000
SLTL Group,Venture - Series Unknown,"₹40,000,000","Oct 23, 2007",40000000
Mast Kalandar,Series A,—,"Jan 1, 2008",0
Cafe Coffee Day,Private Equity,—,"Dec 1, 2006",0
ICOMM Tele,Venture - Series Unknown,"₹500,000,000","Mar 1, 2008",500000000
Assotech Realty Pvt Limited,Venture - Series Unknown,—,"Apr 1, 2007",0
Ad2pro Media Solutions Pvt. Ltd. (2adpro),Series A,—,"Mar 31, 2008",0
PVR Ltd,Post-IPO Equity,"₹1,200,000,000","Jun 5, 2008",1200000000
SAI Life Sciences,Private Equity,"$20,000,000","May 21, 2008",1500000000
Embassy Group,Private Equity,"$41,000,000","Jun 1, 2007",3075000000
Cinevision,Seed,—,"Dec 10, 2007",0
PayMate,Series B,"$9,000,000","Jun 1, 2008",675000000
Four Interactive,Series B,"$10,000,000","Sep 1, 2007",750000000
Nicco Corporation,Seed,"₹58,800,000","Apr 1, 2006",58800000
Worldzen Holdings,Venture - Series Unknown,"$4,000,000","Feb 11, 2003",300000000
Rubamin,Venture - Series Unknown,"₹70,000,000","Jul 1, 2007",70000000
reQall,Non-equity Assistance,—,"Jan 1, 2007",0
Indo Schöttle,Private Equity,"$5,000,000","Jun 1, 2005",375000000
Vishwa Infrastructures & Services,Private Equity,"₹600,000,000","Jul 10, 2008",600000000
Ortel Communications,Private Equity,—,"Apr 1, 2008",0
Bharat Matrimony,Series A,"$8,600,000","Aug 4, 2006",645000000
Printo,Seed,"$4,460,000","Jan 1, 2007",334500000
LifeCell International,Venture - Series Unknown,—,"Jan 1, 2007",0
GSS Infotech,Venture - Series Unknown,—,"Mar 24, 2008",0
Numex,Debt Financing,"$1,500,000","Nov 22, 1999",112500000
Trivitron Healthcare,Venture - Series Unknown,"$11,000,000","Nov 2, 2007",825000000
Zensar Technologies,Private Equity,"$9,000,000","Sep 1, 1997",675000000
Comviva,Series A,"$13,500,000","Dec 4, 2005",1012500000
ideaForge,Seed,—,"Apr 1, 2008",0
Synergies Castings,Venture - Series Unknown,—,"Dec 1, 2007",0
Zoomin,Seed,"$850,000","Nov 1, 2007",63750000
HomeShop18,Private Equity,"$21,000,000","Jul 8, 2008",1575000000
UNITEK,Venture - Series Unknown,—,"Nov 1, 2007",0
SFO Technologies,Venture - Series Unknown,"₹500,000,000","Apr 1, 2006",500000000
Mu Sigma,Series B,"$1,500,000","May 18, 2006",112500000
Tribi Embedded Technologies Private,Venture - Series Unknown,"$1,600,000","Feb 8, 2008",120000000
Webshastra,Series A,"$10,000,000","Dec 14, 2005",750000000
Benchmark Softec,Venture - Series Unknown,"₹10,000,000","Jan 1, 2001",10000000
Om Logistics,Venture - Series Unknown,"₹800,000,000","Dec 1, 2007",800000000
G. S. Developers & Contractors,Venture - Series Unknown,—,"Dec 1, 2007",0
Seventymm,Series B,"$7,000,000","Sep 19, 2006",525000000
Growing Opportunity Finance,Pre-Seed,"₹24,700,000","Dec 1, 2006",24700000
RapidRadio,Seed,"₹8,000,000","Mar 17, 2007",8000000
HNG Float Glass,Venture - Series Unknown,"₹350,000,000","Dec 1, 2007",350000000
Epicenter Technologies,Private Equity,—,"Jan 1, 2002",0
Matrimony.com,Series B,"$11,750,000","Feb 6, 2008",881250000
Srei Infrastructure Finance,Post-IPO Debt,"$45,000,000","Sep 15, 2006",3375000000
Filmy4wapin,Series B,"$1,000,000","Apr 10, 1905",75000000
